Executable,Dataset,SkylinePoints,AvgTime_s,Threads
omp-skyline,circle-N1000-D2.in,15,0.000070
omp-skyline,test1-N100000-D3.in,26,0.022690
omp-skyline,test2-N100000-D4.in,10352,2.435529
omp-skyline,test3-N100000-D10.in,24892,20.430688
omp-skyline,test3-N141421-D10.in,31212,34.820957
omp-skyline,test3-N173205-D10.in,34688,45.370474
omp-skyline,test3-N200000-D10.in,39965,59.154359
omp-skyline,test4-N100000-D8.in,17458,11.713152
omp-skyline,test5-N100000-D20.in,96973,83.145740
omp-skyline,test6-N100000-D50.in,100050,127.615926
omp-skyline,test7-N100000-D200.in,100200,191.321200
omp-skyline,worst-N100000-D10.in,100000,55.047099
omp-skyline1.3.2,circle-N1000-D2.in,15,0.000416,4
omp-skyline1.3.2,test1-N100000-D3.in,26,0.014220,4
omp-skyline1.3.2,test2-N100000-D4.in,10352,0.606963,4
omp-skyline1.3.2,test3-N100000-D10.in,24892,4.902066,4
omp-skyline1.3.2,test3-N141421-D10.in,31212,9.261019,4
omp-skyline1.3.2,test3-N173205-D10.in,34688,11.988145,4
omp-skyline1.3.2,test3-N200000-D10.in,39965,15.527648,4
omp-skyline1.3.2,test4-N100000-D8.in,17458,3.104255,4
omp-skyline1.3.2,test5-N100000-D20.in,96973,22.695186,4
omp-skyline1.3.2,test6-N100000-D50.in,100050,35.237036,4
omp-skyline1.3.2,test7-N100000-D200.in,100200,52.236007,4
omp-skyline1.3.2,worst-N100000-D10.in,100000,14.208296,4
