Executable,Dataset,SkylinePoints,AvgTime_s
omp-skyline2,circle-N1000-D2.in,15,.00036533333333333333
omp-skyline2,test1-N100000-D3.in,26,.01934800000000000000
omp-skyline2,test2-N100000-D4.in,10352,1.02975266666666666666
omp-skyline2,test3-N100000-D10.in,24892,9.84018966666666666666
omp-skyline2,test4-N100000-D8.in,17458,7.61786900000000000000
omp-skyline2,test5-N100000-D20.in,96973,27.81380233333333333333
omp-skyline2,test6-N100000-D50.in,100050,46.68485266666666666666
omp-skyline2,test7-N100000-D200.in,100200,60.02724800000000000000
omp-skyline2,worst-N100000-D10.in,100000,15.20827533333333333333
