Executable,Dataset,SkylinePoints,AvgTime_s
omp-skyline1.6,circle-N1000-D2.in,15,.00350800000000000000
omp-skyline1.6,test1-N100000-D3.in,26,.01229166666666666666
omp-skyline1.6,test2-N100000-D4.in,10352,.90802533333333333333
omp-skyline1.6,test3-N100000-D10.in,24892,6.10048700000000000000
omp-skyline1.6,test4-N100000-D8.in,17458,3.96081866666666666666
omp-skyline1.6,test5-N100000-D20.in,96973,26.12384733333333333333
omp-skyline1.6,test6-N100000-D50.in,100050,37.65160400000000000000
omp-skyline1.6,test7-N100000-D200.in,100200,54.26982200000000000000
omp-skyline1.6,worst-N100000-D10.in,100000,16.47823366666666666666
