Executable,Dataset,SkylinePoints,AvgTime_s
omp-skyline1.5,circle-N1000-D2.in,15,.00037380000000000000
omp-skyline1.3.2,circle-N1000-D2.in,15,.00036600000000000000
omp-skyline1.5,test1-N100000-D3.in,26,.01037020000000000000
omp-skyline1.3.2,test1-N100000-D3.in,26,.01179360000000000000
omp-skyline1.5,test2-N100000-D4.in,10352,.59730480000000000000
omp-skyline1.3.2,test2-N100000-D4.in,10352,.59889160000000000000
omp-skyline1.5,test3-N100000-D10.in,24892,4.59476420000000000000
omp-skyline1.3.2,test3-N100000-D10.in,24892,4.88828000000000000000
omp-skyline1.5,test3-N200000-D10.in,39965,15.12660240000000000000
omp-skyline1.3.2,test3-N200000-D10.in,39965,15.04018400000000000000
omp-skyline1.5,test3-N300000-D10.in,51260,30.53951800000000000000
omp-skyline1.3.2,test3-N300000-D10.in,51260,30.68968160000000000000
omp-skyline1.5,test3-N400000-D10.in,61962,47.52166940000000000000
omp-skyline1.3.2,test3-N400000-D10.in,61962,47.68777320000000000000
omp-skyline1.5,test4-N100000-D8.in,17458,2.85559860000000000000
omp-skyline1.3.2,test4-N100000-D8.in,17458,3.09294680000000000000
omp-skyline1.5,test5-N100000-D20.in,96973,21.99921220000000000000
omp-skyline1.3.2,test5-N100000-D20.in,96973,21.87008100000000000000
omp-skyline1.5,test6-N100000-D50.in,100050,36.84413300000000000000
omp-skyline1.3.2,test6-N100000-D50.in,100050,36.25897240000000000000
omp-skyline1.5,test7-N100000-D200.in,100200,51.38476780000000000000
omp-skyline1.3.2,test7-N100000-D200.in,100200,50.06145440000000000000
omp-skyline1.5,worst-N100000-D10.in,100000,15.07358460000000000000
omp-skyline1.3.2,worst-N100000-D10.in,100000,13.95642640000000000000
