Executable,Dataset,SkylinePoints,AvgTime_s
skyline,circle-N1000-D2.in,15,.00007600000000000000
skyline,test1-N100000-D3.in,26,.02498833333333333333
skyline,test2-N100000-D4.in,10352,2.79712766666666666666
skyline,test3-N100000-D10.in,24892,21.32625466666666666666
skyline,test4-N100000-D8.in,17458,12.58785066666666666666
skyline,test5-N100000-D20.in,96973,86.96343166666666666666
skyline,test6-N100000-D50.in,100050,139.56852133333333333333
skyline,test7-N100000-D200.in,100200,202.29640033333333333333
skyline,worst-N100000-D10.in,100000,58.94011566666666666666
