Executable,Dataset,SkylinePoints,AvgTime_s
omp-skyline1.3.2,circle-N1000-D2.in,15,.00259760000000000000
omp-skyline1.3.2,test1-N100000-D3.in,26,.01606640000000000000
omp-skyline1.3.2,test2-N100000-D4.in,10352,.89456260000000000000
omp-skyline1.3.2,test3-N100000-D10.in,24892,6.67761820000000000000
omp-skyline1.3.2,test4-N100000-D8.in,17458,4.21973840000000000000
omp-skyline1.3.2,test5-N100000-D20.in,96973,30.77205320000000000000
omp-skyline1.3.2,test6-N100000-D50.in,100050,44.75395480000000000000
omp-skyline1.3.2,test7-N100000-D200.in,100200,53.71511200000000000000
omp-skyline1.3.2,worst-N100000-D10.in,100000,16.62464200000000000000
omp-skyline1.5,circle-N1000-D2.in,15,.00035960000000000000
omp-skyline1.5,test1-N100000-D3.in,26,.00991280000000000000
omp-skyline1.5,test2-N100000-D4.in,10352,.60580580000000000000
omp-skyline1.5,test3-N100000-D10.in,24892,4.67282140000000000000
omp-skyline1.5,test4-N100000-D8.in,17458,3.02394400000000000000
omp-skyline1.5,test5-N100000-D20.in,96973,22.24273140000000000000
omp-skyline1.5,test6-N100000-D50.in,100050,37.58791660000000000000
omp-skyline1.5,test7-N100000-D200.in,100200,52.84928980000000000000
omp-skyline1.5,worst-N100000-D10.in,100000,14.78642500000000000000
