Executable,Dataset,SkylinePoints,AvgTime_s
omp-skyline1.5,circle-N1000-D2.in,15,.00036833333333333333
omp-skyline1.5,test1-N100000-D3.in,26,.01331200000000000000
omp-skyline1.5,test2-N100000-D4.in,10352,.64607533333333333333
omp-skyline1.5,test3-N100000-D10.in,24892,4.94137700000000000000
omp-skyline1.5,test4-N100000-D8.in,17458,3.16265300000000000000
omp-skyline1.5,test5-N100000-D20.in,96973,22.58786000000000000000
omp-skyline1.5,test6-N100000-D50.in,100050,43.63204800000000000000
omp-skyline1.5,test7-N100000-D200.in,100200,55.18664866666666666666
omp-skyline1.5,worst-N100000-D10.in,100000,15.19537566666666666666
